GAMECODE,GAME_ID,SEASON
20170930/DENGSW,11700001,2017
20170930/MINLAL,11700002,2017
20171001/ATLMIA,11700004,2017
20171001/LACTOR,11700003,2017
20171002/GUAWAS,11700005,2017
20171002/CHABOS,11700008,2017
20171002/ORLMEM,11700006,2017
20171002/MILDAL,11700009,2017
20171002/SYDUTA,11700007,2017
20171002/SASSAC,11700010,2017
20171002/DENLAL,11700011,2017
20171003/BKNNYK,11700016,2017
20171003/CHINOP,11700012,2017
20171003/HOUOKC,11700013,2017
20171003/PHXPOR,11700014,2017
20171004/TORLAC,11700015,2017
20171004/MEMPHI,11700017,2017
20171004/ATLCLE,11700018,2017
20171004/CHADET,11700019,2017
20171004/INDMIL,11700020,2017
20171004/CHIDAL,11700023,2017
20171004/MACUTA,11700021,2017
20171004/DENLAL,11700022,2017
20171005/MINGSW,11700024,2017
20171005/DALORL,11700025,2017
20171005/MIABKN,11700028,2017
20171005/SDSHOU,11700026,2017
20171005/TORPOR,11700027,2017
20171006/BOSPHI,11700029,2017
20171006/NYKWAS,11700030,2017
20171006/ATLDET,11700031,2017
20171006/INDCLE,11700035,2017
20171006/MILCHI,11700032,2017
20171006/NOPOKC,11700033,2017
20171006/SACSAS,11700036,2017
20171006/PHXUTA,11700034,2017
20171007/MIAORL,11700037,2017
20171008/GSWMIN,11700044,2017
20171008/MELOKC,11700039,2017
20171008/CLEWAS,11700040,2017
20171008/PORLAC,11700038,2017
20171008/DENSAS,11700041,2017
20171008/NOPCHI,11700042,2017
20171008/NYKBKN,11700045,2017
20171008/SACLAL,11700043,2017
20171009/INDDET,11700046,2017
20171009/PHIBOS,11700048,2017
20171009/HOUNYK,11700049,2017
20171009/MEMATL,11700050,2017
20171009/CHAMIA,11700051,2017
20171009/ORLDAL,11700052,2017
20171009/UTAPHX,11700047,2017
20171009/PORSAC,11700053,2017
20171010/DETTOR,11700054,2017
20171010/MACIND,11700055,2017
20171010/CHICLE,11700059,2017
20171010/ORLSAS,11700057,2017
20171010/OKCDEN,11700056,2017
20171010/UTALAL,11700058,2017
20171011/BOSCHA,11700060,2017
20171011/PHIBKN,11700062,2017
20171011/WASMIA,11700063,2017
20171011/HOUMEM,11700064,2017
20171011/PORPHX,11700061,2017
20171012/DALATL,11700065,2017
20171012/SACLAC,11700066,2017
20171013/DALCHA,11700067,2017
20171013/CLEORL,11700069,2017
20171013/WASNYK,11700075,2017
20171013/MIAPHI,11700068,2017
20171013/TORCHI,11700070,2017
