ABBR,PRIMARY_COLOR,SECONDARY_COLOR
ATL,#E2373E,#002A5C
BKN,#000000,#FFFFFF
BOS,#008348,#AE8445
CHA,#00848E,#260F54
CHI,#C60033,#000000
CLE,#860038,#002D62
DAL,#0063AF,#BAC4CA
DEN,#559FD6,#006BB7
DET,#EC003D,#0058A6
GSW,#0068B3,#FFC423
HOU,#C60033,#000000
IND,#001D4A,#FEAC2D
LAC,#00559A,#EC003D
LAL,#FEA927,#42186E
MEM,#182A48,#4C78AD
MIA,#98002E,#F88D1D
MIL,#00471B,#EEE1C6
MIN,#003F70,#006F42
NOP,#002B5C,#B4975A
NYK,#F3571F,#0067B2
OKC,#007DC3,#F05133
ORL,#006BB7,#BAC4CA
PHI,#EC003D,#00559A
PHX,#E45F1F,#F89F1B
POR,#DE2032,#BAC4CA
SAC,#724C9F,#BAC4CA
SAS,#BA24CA,#000000
TOR,#C60033,#BAC4CA
UTA,#002B5C,#F9A01B
WAS,#002A5B,#E21836
